rank,title,BGG_rating,avg_rating,list_price,amazon_price,year
331,Acquire,7.124,7.34,,44.13,1963
332,Bunny Kingdom,7.123,7.43,,49.99,2017
333,Destinies,7.122,7.76,,33.99,2021
334,Burgle Bros.,7.122,7.45,,,2015
335,The Great Zimbabwe,7.12,7.83,,130.65,2012
336,Awkward Guests: The Walton Case,7.12,7.59,,41.99,2016
337,Dead of Winter: The Long Night,7.117,7.54,,64.95,2016
338,Long Shot: The Dice Game,7.117,7.68,,,2022
339,Small World,7.115,7.21,,,2009
340,Above and Below,7.115,7.37,,37.49,2015
341,Arboretum,7.114,7.31,,19.95,2015
342,Bonfire,7.111,7.68,,48.06,2020
343,Nusfjord,7.109,7.64,,,2017
344,Merchants & Marauders,7.109,7.39,,64.99,2010
345,BattleLore: Second Edition,7.109,7.68,,,2013
346,The King Is Dead: Second Edition,7.108,7.67,,37.31,2020
347,Lords of Hellas,7.108,7.69,,69.95,2018
348,Neuroshima Hex! 3.0,7.107,7.39,,44.99,2006
349,Dungeon Lords,7.106,7.36,,91.6,2009
350,Tiletum,7.105,7.97,,59.99,2022
351,Chinatown,7.105,7.42,,,1999
352,Tekhenu: Obelisk of the Sun,7.104,7.73,,54.95,2020
353,Bärenpark,7.104,7.3,,44.34,2017
354,Mission: Red Planet (Second Edition),7.103,7.41,,26.99,2015
355,Sid Meier's Civilization: The Board Game,7.103,7.38,,,2010
356,Letters from Whitechapel,7.101,7.35,,81.49,2011
357,Dixit,7.098,7.21,,49.97,2008
358,Skull King,7.098,7.51,,16.99,2013
359,Star Wars: The Deckbuilding Game,7.097,7.95,,24.31,2023
360,Imperium: Classics,7.093,7.72,,41.34,2021
361,Innovation,7.092,7.29,,18.55,2010
362,Harry Potter: Hogwarts Battle,7.092,7.38,,34.99,2016
363,Mysterium,7.091,7.23,,34.99,2015
364,Takenoko,7.09,7.22,,40.99,2011
365,Hannibal: Rome vs. Carthage,7.089,7.78,,89.2,1996
366,Star Wars: Armada,7.089,7.82,,95.99,2015
367,Gizmos,7.089,7.39,,39.99,2018
368,Ghost Stories,7.088,7.28,,99.99,2008
369,Cloudspire,7.086,8.2,,174.94,2019
370,Agricola: All Creatures Big and Small,7.084,7.34,,39.99,2012
371,The Resistance,7.084,7.22,,19.99,2009
372,51st State: Master Set,7.083,7.61,,157.09,2016
373,Raiders of Scythia,7.083,7.79,,46.32,2020
374,Altiplano,7.082,7.48,,55.99,2017
375,So Clover!,7.082,7.59,,24.97,2021
376,Ginkgopolis,7.082,7.51,,64.99,2012
377,Love Letter,7.076,7.51,,12.59,2019
378,San Juan,7.075,7.23,,29.99,2004
379,Mage Wars Arena,7.074,7.58,,,2012
380,Furnace,7.074,7.43,,38.11,2020
381,Blood Bowl: Team Manager – The Card Game,7.072,7.39,,,2011
382,Carpe Diem,7.07,7.52,,19.99,2018
383,Newton,7.07,7.56,,67.99,2018
384,Flamecraft,7.068,7.48,,39.94,2022
385,Abyss,7.067,7.32,,46.21,2014
386,Notre Dame,7.066,7.32,,54.99,2007
387,Gùgōng,7.063,7.45,,78.0,2018
388,The Pillars of the Earth,7.063,7.27,,19.99,2006
389,At the Gates of Loyang,7.062,7.36,,,2009
390,Twice as Clever!,7.058,7.45,,22.69,2019
391,Maria,7.058,7.99,,,2009
392,Pandemic: Fall of Rome,7.056,7.63,,28.99,2018
393,The Godfather: Corleone's Empire,7.054,7.53,,96.55,2017
394,Sidereal Confluence,7.053,7.78,,49.0,2017
395,Saint Petersburg,7.052,7.27,,,2004
396,Downforce,7.051,7.32,,39.95,2017
397,Die Macher,7.05,7.6,,,1986
398,Summoner Wars (Second Edition),7.05,8.17,,49.95,2021
399,Evolution: Climate,7.048,7.51,,58.5,2016
400,Schotten Totten,7.048,7.35,,15.99,1999
401,Endeavor,7.045,7.38,,70.9,2009
402,Project L,7.045,7.48,,34.99,2020
403,Smartphone Inc.,7.045,7.59,,57.32,2018
404,King of Tokyo,7.041,7.14,,37.55,2011
405,Here I Stand,7.04,7.88,,,2006
406,Ticket to Ride: Märklin,7.04,7.41,,,2006
407,In the Year of the Dragon,7.036,7.3,,27.66,2007
